CHARGE_FILING_DATE,CP_SEX,CP_NATIONAL_ORIGIN,CP_DOB,HISPANIC_CP,CP_RACE_STRING,R_NAICS_CODE,R_NAICS_DESCRIPTION,R_NUMBER_OF_EMPLOYEES,R_TYPE
Dec/03/1997 ,Female,Other National Origin - Obsolete,Oct/24/1953 ,NULL,W,488999,All Other Support Activities for Transportation,201 - 500 Employees,Private Employer
Dec/03/1997 ,Female,Other National Origin - Obsolete,Aug/22/1977 ,NULL,W,441229,All Other Motor Vehicle Dealers,15 - 100 Employees,Private Employer
Dec/04/1997 ,Female,Other National Origin - Obsolete,Jun/11/1964 ,NULL,W,421490,Other Professional Equipment and Supplies Wholesalers,101 - 200 Employees,Private Employer
Dec/04/1997 ,Male,Other National Origin - Obsolete,Jul/13/1966 ,NULL,A,452990,All Other General Merchandise Stores,201 - 500 Employees,Private Employer
Dec/04/1997 ,Female,Other National Origin - Obsolete,Dec/30/1949 ,NULL,W,441229,All Other Motor Vehicle Dealers,501+ Employees,Private Employer
Dec/04/1997 ,Female,Other National Origin - Obsolete,Nov/22/1956 ,NULL,W,332116,Metal Stamping,101 - 200 Employees,Private Employer
Dec/04/1997 ,Female,Other National Origin - Obsolete,Oct/24/1960 ,NULL,W,112990,All Other Animal Production,15 - 100 Employees,Private Employer
Dec/05/1997 ,Female,Other National Origin - Obsolete,Sep/18/1980 ,NULL,B,448210,Shoe Stores,15 - 100 Employees,Private Employer
Dec/05/1997 ,Female,Other National Origin - Obsolete,Sep/07/1963 ,NULL,O,447190,Other Gasoline Stations,15 - 100 Employees,Private Employer
Dec/05/1997 ,Female,Other National Origin - Obsolete,Jun/13/1961 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Dec/05/1997 ,Female,NULL,Nov/11/1911 ,NULL,NULL,722110,Full-Service Restaurants,201 - 500 Employees,Private Employer
Dec/05/1997 ,Female,Other National Origin - Obsolete,Jun/14/1967 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/08/1997 ,Male,Other National Origin - Obsolete,Mar/07/1955 ,NULL,W,812210,Funeral Homes and Funeral Services,15 - 100 Employees,Private Employer
Dec/08/1997 ,Female,Other National Origin - Obsolete,Jun/17/1959 ,NULL,W,521110,Monetary Authorities - Central Bank,101 - 200 Employees,Private Employer
Dec/08/1997 ,Female,Other National Origin - Obsolete,Jul/31/1962 ,NULL,W,331111,Iron and Steel Mills,15 - 100 Employees,Private Employer
Dec/08/1997 ,Female,Other National Origin - Obsolete,Jun/14/1978 ,NULL,B,452111,Department Stores (except Discount Department Stores),15 - 100 Employees,Private Employer
Dec/08/1997 ,Female,Other National Origin - Obsolete,May/08/1961 ,NULL,W,921130,Public Finance Activities,501+ Employees,State/Local Govt
Dec/09/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,B,921190,Other General Government Support,101 - 200 Employees,State/Local Govt
Nov/24/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",501+ Employees,Private Employer
Dec/05/1997 ,Male,Other National Origin - Obsolete,Mar/27/1957 ,NULL,B,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",501+ Employees,Private Employer
Dec/09/1997 ,Female,Other National Origin - Obsolete,Sep/12/1962 ,NULL,W,611710,Educational Support Services,501+ Employees,Private Employer
Dec/09/1997 ,Female,Other National Origin - Obsolete,Sep/22/1945 ,NULL,W,221119,Other Electric Power Generation,501+ Employees,Private Employer
Dec/09/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,O,561499,All Other Business Support Services,Unknown Number Of Employees,Private Employer
Dec/10/1997 ,Male,Other National Origin - Obsolete,Jan/01/1960 ,NULL,W,611110,Elementary and Secondary Schools,15 - 100 Employees,Public Elem/Secondary School
Dec/10/1997 ,Male,Other National Origin - Obsolete,Apr/07/1953 ,NULL,O,482111,Line-Haul Railroads,501+ Employees,Private Employer
Dec/11/1997 ,Female,Other National Origin - Obsolete,Apr/24/1962 ,NULL,W,541110,Offices of Lawyers,15 - 100 Employees,Private Employer
Dec/11/1997 ,Female,Other National Origin - Obsolete,Aug/06/1967 ,NULL,B,517310,Telecommunications Resellers,201 - 500 Employees,Private Employer
Dec/11/1997 ,Female,Other National Origin - Obsolete,Feb/06/1955 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Dec/12/1997 ,Female,Other National Origin - Obsolete,Jul/22/1963 ,NULL,W,452910,Warehouse Clubs and Supercenters,201 - 500 Employees,Private Employer
Dec/12/1997 ,Male,Other National Origin - Obsolete,May/30/1951 ,NULL,W,922120,Police Protection,15 - 100 Employees,Private Employer
Dec/12/1997 ,Female,Other National Origin - Obsolete,Jan/15/1960 ,NULL,W,622110,General Medical and Surgical Hospitals,501+ Employees,Private Employer
Dec/12/1997 ,Female,Other National Origin - Obsolete,Dec/17/1969 ,NULL,B,236220,Commercial and Institutional Building Construction,15 - 100 Employees,Private Employer
